region,state,"Total State Profit November 2021","Total State Profit December 2021","November 2021 vs December 2021 (%)","Total State Profit December 2020","December 2020 vs December 2021 (%)","Total Region Profit December 2020","Percent Participation December 2020 (%)","Total Region Profit December 2021","Percent Participation December 2021 (%)"
Central,Illinois,-154.4147,-3145.1779,1936.83839686,22.9938,-13778.37373553,7281.2271,0.31579567,-1238.3754,253.97612872
Central,Indiana,1318.0118,183.8399,-86.05172579,474.2654,-61.23691503,7281.2271,6.51353671,-1238.3754,-14.84524806
Central,Iowa,21.5824,26.6714,23.57939803,54.4448,-51.01203421,7281.2271,0.74774209,-1238.3754,-2.15374110
Central,Kansas,26.2770,0.0000,-100.00000000,46.9392,-100.00000000,7281.2271,0.64466057,-1238.3754,0.00000000
Central,Michigan,208.6720,1103.2497,428.70040063,5524.3742,-80.02941763,7281.2271,75.87147227,-1238.3754,-89.08847027
Central,Minnesota,57.7884,281.5152,387.14828582,20.0486,1304.16388177,7281.2271,0.27534645,-1238.3754,-22.73262211
Central,Missouri,79.3262,218.2518,175.13204969,0.0000,100.00000000,7281.2271,0.00000000,-1238.3754,-17.62404195
Central,Nebraska,0.0000,804.0518,100.00000000,149.1300,439.16167103,7281.2271,2.04814378,-1238.3754,-64.92795319
Central,"North Dakota",0.0000,13.5590,100.00000000,0.0000,100.00000000,7281.2271,0.00000000,-1238.3754,-1.09490224
Central,Oklahoma,19.0800,5.1840,-72.83018868,24.9132,-79.19175377,7281.2271,0.34215661,-1238.3754,-0.41861297
Central,"South Dakota",6.6300,0.0000,-100.00000000,0.0000,100.00000000,7281.2271,0.00000000,-1238.3754,0.00000000
Central,Texas,-3227.1786,-1191.1596,-63.08975276,-81.4903,1361.71949299,7281.2271,-1.11918361,-1238.3754,96.18727891
Central,Wisconsin,125.6301,461.6393,267.45915191,1045.6082,-55.84968634,7281.2271,14.36032946,-1238.3754,-37.27781576
East,Connecticut,0.0000,437.5016,100.00000000,190.9008,129.17745761,5527.9174,3.45339458,3225.0994,13.56552297
